date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:50	31676/31676	URF---	200	added ('OK%20(cached)')	application/woff		https://arbitrum.foundation/_next/static/media/UniversalSansDisplay-500.d8f0ec21.woff	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/UniversalSansDisplay-500.d8f0ec21.woff	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:50	41499/41499	URF---	200	added ('OK%20(cached)')	application/woff		https://arbitrum.foundation/_next/static/media/MaisonNeueMono.dc65dd87.woff	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/MaisonNeueMono.dc65dd87.woff	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:50	303/303	---M--	200	added ('OK')	image/svg+xml	etag:%227833f276d4d2e47f6db3df20f3d6b497%22	https://arbitrum.foundation/_next/static/media/minus.bfb48e99.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/minus.bfb48e99.svg	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:51	446/446	---M--	200	added ('OK')	image/svg+xml	etag:%227da3f400d3078563e33600fa2e61ff03%22	https://arbitrum.foundation/_next/static/media/plus.513b078a.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/plus.513b078a.svg	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:52	501/501	---M--	200	added ('OK')	image/svg+xml	etag:%22ed25d57679d25743eba71eeedb2eafc2%22	https://arbitrum.foundation/_next/static/media/green_tick.2f80bd4d.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/green_tick.2f80bd4d.svg	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:53	505/505	---M--	200	added ('OK')	image/svg+xml	etag:%2239d9e4d2c9630398544b2b37cf5cfc37%22	https://arbitrum.foundation/_next/static/media/red_cross.53691d75.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/red_cross.53691d75.svg	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:55	11517/11517	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228f2d654931fb9a51cac01122fd251ee6%22	https://arbitrum.foundation/_next/static/media/arbitrum_logo.700dd1fb.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/arbitrum_logo.700dd1fb.svg	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:55	588/588	---M--	200	added ('OK')	image/svg+xml	etag:%2243bff9b26641b355c6adc1884ac2e29e%22	https://arbitrum.foundation/_next/static/media/search_icon.5e194ac2.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/search_icon.5e194ac2.svg	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:57	1157/1157	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220e3229e474e54a384521df75d92e862c%22	https://arbitrum.foundation/_next/static/media/external_icon.76b0859c.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/external_icon.76b0859c.svg	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:57	506/506	---M--	200	added ('OK')	image/svg+xml	etag:%220e700cb89dcd0929ad3a44db9798921d%22	https://arbitrum.foundation/_next/static/media/back_to_top_arrow.edc4a9d5.svg	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/back_to_top_arrow.edc4a9d5.svg	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:57	715918/715918	---M--	200	added ('OK')	image/webp	etag:%226330c777b909fff31a1c9789434e73ce%22	https://arbitrum.foundation/_next/static/media/cityscape.505f0b7d.webp	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/cityscape.505f0b7d.webp	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:59	3555/3555	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2019%20Mar%202023%2005:28:58%20GMT	https://arbitrum.foundation/orbit	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/orbit	(from https://arbitrum.foundation/)
08:59:00	37690/37690	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	etag:%22ab250957f3d45f969b0ae717caa8c1b9%22	https://arbitrum.foundation/tos	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/tos	(from https://arbitrum.foundation/)
08:59:01	22112/22112	---MCZ	200	added ('OK')	text/html	etag:W/%2222482d1d098196df2f42b1d8e581b6d6%22	https://arbitrum.foundation/orbit	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/orbit	(from https://arbitrum.foundation/orbit)
08:59:01	37690/37690	---MCZ	200	added ('OK')	text/html	etag:W/%22ab250957f3d45f969b0ae717caa8c1b9%22	https://arbitrum.foundation/tos	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/tos	(from https://arbitrum.foundation/tos)
